"Date","Site","FirstConfirmed"
2022-01-13,"Stevens Point WWTF",37
2022-01-13,"Sturgeon Bay Utilities WWTF",44
2022-01-13,"Sun Prairie WWTF",158
2022-01-13,"Superior WWTP",43
2022-01-13,"Viroqua WWTF",6
2022-01-13,"Washburn WWTP",2
2022-01-13,"Watertown WWTP",74
2022-01-13,"Waukesha WWTP",145
2022-01-13,"Waupaca WWTF",19
2022-01-13,"Wausau Water Works WWTF",161
2022-01-13,"Whitewater WWTF",16
2022-01-13,"Wisconsin Rapids WWTF",69
2021-01-14,"Algoma WWTF",2
2021-01-14,"Appleton WWTF",36
2021-01-14,"Ashland Sewage Utility",2
2021-01-14,"Baraboo WWTF",6
2021-01-14,"Beloit WWTF",22
2021-01-14,"Berlin WWTF",1
2021-01-14,"Black River Falls WWTF",2
2021-01-14,"Burlington WPCC",9
2021-01-14,"Cedarburg WWTF",6
2021-01-14,"Chippewa Falls WWTF",5
2021-01-14,"Columbus WWTF",3
2021-01-14,"De Pere WWTF",12
2021-01-14,"Eau Claire WWTF",24
2021-01-14,"Fox River WPCC",11
2021-01-14,"Grafton Water & Wastewater Utility",5
2021-01-14,"Green Bay MSD",63
2021-01-14,"Hartford WPCF",7
2021-01-14,"Heart of the Valley MSD",22
2021-01-14,"Hudson WWTF",4
2021-01-14,"Janesville WW Utility",32
2021-01-14,"Kenosha WWTF",44
2021-01-14,"La Crosse WWTP",10
2021-01-14,"Lac du Flambeau Tribal Water & Sewer",2
2021-01-14,"Lake Geneva WWTP",3
2021-01-14,"Madison MSD WWTF",133
2021-01-14,"Manitowoc WWTF",24
2021-01-14,"Marinette Wastewater Utility",3
2021-01-14,"Marshfield WWTF",16
2021-01-14,"Mauston WWTF",5
2021-01-14,"Menomonie WWTF",7
2021-01-14,"Merrill WWTP",6
2021-01-14,"Milwaukee MSD Jones Island",142
2021-01-14,"Milwaukee MSD South Shore",231
2021-01-14,"Monroe WWTF",9
2021-01-14,"New Richmond WWTF",6
2021-01-14,"Oconomowoc WWTP",16
2021-01-14,"Oshkosh WWTP",33
2021-01-14,"Peshtigo WWTF",4
2021-01-14,"Platteville WWTF",1
2021-01-14,"Plymouth Utilities WWTF",4
2021-01-14,"Port Washington WWTP",3
2021-01-14,"Portage WWTF",2
2021-01-14,"Racine Wastewater Utility",51
2021-01-14,"Rib Mountain MSD WWTF",20
2021-01-14,"River Falls Municipal Utility WWTF",1
2021-01-14,"Sheboygan WWTP",27
2021-01-14,"South Milwaukee WWTF",15
2021-01-14,"Sparta WWTF",8
2021-01-14,"Spooner WWTP",3
2021-01-14,"Stevens Point WWTF",5
2021-01-14,"Sturgeon Bay Utilities WWTF",5
2021-01-14,"Sun Prairie WWTF",8
2021-01-14,"Superior WWTP",21
2021-01-14,"Viroqua WWTF",1
2021-01-14,"Watertown WWTP",3
2021-01-14,"Waukesha WWTP",31
2021-01-14,"Wausau Water Works WWTF",27
2021-01-14,"Whitewater WWTF",7
2021-01-14,"Wisconsin Rapids WWTF",3
2022-01-14,"Algoma WWTF",5
2022-01-14,"Appleton WWTF",140
2022-01-14,"Ashland Sewage Utility",3
2022-01-14,"Baraboo WWTF",43
2022-01-14,"Beloit WWTF",127
2022-01-14,"Berlin WWTF",9
2022-01-14,"Black River Falls WWTF",23
2022-01-14,"Burlington WPCC",27
2022-01-14,"Cedarburg WWTF",16
2022-01-14,"Chippewa Falls WWTF",28
2022-01-14,"Clintonville Wastewater Utility",5
2022-01-14,"Columbus WWTF",22
2022-01-14,"De Pere WWTF",130
2022-01-14,"Eau Claire WWTF",169
2022-01-14,"Fox River WPCC",56
2022-01-14,"Grafton Water & Wastewater Utility",23
2022-01-14,"Green Bay MSD",515
2022-01-14,"Hartford WPCF",26
2022-01-14,"Hayward WPCF",5
2022-01-14,"Heart of the Valley MSD",82
2022-01-14,"Hudson WWTF",55
2022-01-14,"Janesville WW Utility",136
2022-01-14,"Kenosha WWTF",230
2022-01-14,"La Crosse WWTP",84
2022-01-14,"Lac du Flambeau Tribal Water & Sewer",6
2022-01-14,"Lake Geneva WWTP",33
2022-01-14,"Lodi WWTF",9
2022-01-14,"Madison MSD WWTF",1061
2022-01-14,"Manitowoc WWTF",68
2022-01-14,"Marinette Wastewater Utility",24
2022-01-14,"Marshfield WWTF",50
2022-01-14,"Mauston WWTF",8
2022-01-14,"Menomonie WWTF",35
2022-01-14,"Merrill WWTP",9
2022-01-14,"Milwaukee MSD Jones Island",924
2022-01-14,"Milwaukee MSD South Shore",1570
2022-01-14,"Monroe WWTF",55
2022-01-14,"New Richmond WWTF",22
2022-01-14,"Oconomowoc WWTP",52
